time,lat,long,SST,datetime,leg
2018-06-26T21:29:00Z,37.802917,-122.39577,-9999,2018-06-26T21:29:00Z,Leg 1
2018-06-26T21:30:00Z,37.803276,-122.39510000000001,-9999,2018-06-26T21:30:00Z,Leg 1
2018-06-26T21:31:00Z,37.804474,-122.39492999999999,-9999,2018-06-26T21:31:00Z,Leg 1
2018-06-26T21:32:00Z,37.806126,-122.39545000000001,-9999,2018-06-26T21:32:00Z,Leg 1
2018-06-26T21:33:00Z,37.808296,-122.39609999999999,-9999,2018-06-26T21:33:00Z,Leg 1
2018-06-26T21:34:00Z,37.810696,-122.39679000000001,-9999,2018-06-26T21:34:00Z,Leg 1
2018-06-26T21:35:00Z,37.81322,-122.39750000000001,-9999,2018-06-26T21:35:00Z,Leg 1
2018-06-26T21:36:00Z,37.81595,-122.3983,-9999,2018-06-26T21:36:00Z,Leg 1
2018-06-26T21:37:00Z,37.818577,-122.3997,-9999,2018-06-26T21:37:00Z,Leg 1
2018-06-26T21:38:00Z,37.821037,-122.40154000000001,-9999,2018-06-26T21:38:00Z,Leg 1
